Land_Dutch,Country
Noordelijke Marianen,Northern Marianen
Noorwegen,Norway
Norfolk,Norfolk
Oceanië,Oceania
Oekraïne,Ukraine
Oezbekistan,Uzbekistan
Oman,Oman
Oostenrijk,Austria
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papoea-Nieuw-Guinea,Papua New Guinnie
Paraguay,Paraguay
Peru,Peru
Pitcairneilanden,Pitcairn Islands
Polen,Poland
Portugal,Portugal
Puerto Rico,Puerto Rico
Republiek Noord-Macedonië,Republic North Macedonia
Roemenië,Romania
Rusland,Russia
Rusland (oud),Russia
Rwanda,Rwanda
Réunion,Reunion
Saint Kitts en Nevis,Saint Kitts and Nevis
Saint Pierre en Miquelon,Saint Pierre and Miquelon 
Saint-Vincent en de Grenadines,Saint Vincent and Grenadines
Salomonseilanden,Salomon Islands
Samoa,Samoa
San Marino,San Marino
Sao Tomé en Principe,Sao Tomao
Saoedi-Arabië,Saudi Arabia
Senegal,Senegal
Servië,Serbia
Servië en Montenegro,Serbia Montenegro
Seychellen,Seychelen
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Helena,Sint Helena
Sint Lucia,Sint Lucia
Sint Maarten (Nederlands deel),Sint Maarten (Dutch)
Slovenië,Slovenia
Slowakije,Slovakia
Soedan,Sudan
Somalië,Somalia
Sovjet-Unie (oud),Sovjet Union
Spanje,Spain
Sri Lanka,Sri Lanka
Suriname,Surinam
Swaziland,Swaziland
Syrië,Syria
Tadzjikistan,Tajikistan
Taiwan,Taiwan
Tanzania,Tanzania
Thailand,Thailand
Timor Leste,Timor Leste
Togo,Togo
Tokelau-eilanden,Tokelau Islands
Tonga,Tonga
Totaal,Total
Trinidad en Tobago,Trinidad and Tobago
Tsjaad,Chad
Tsjechië,Czech Republic
Tsjecho-Slowakije (oud),Tjech Slowakia
Tunesië,Tunisia
Turkije,Turkey
Turkmenistan,Turkmenistan
Turks- en Caicoseilanden,Turkish islands
Tuvalu,Tuvalu 
Uganda,Uganda
Uruguay,Uruguay
Vanuatu,Vanuatu
Vaticaanstad,Vatican 
Venezuela,Venezuela
Verenigd Koninkrijk,United Kingdom
Verenigde Arabische Emiraten,United Arab Emirates
Verenigde Staten van Amerika,United States
Verre eilanden van de VS,Far islands US
Vietnam,Vietnam
Wallis en Futuna,Wallis and Futuna
Westerse geboortelanden (incl Nederland),western (incl Netherlands)
Wit-Rusland,Belarus
Zambia,Zambia
Zimbabwe,Zimbabwe
"Zuid-Afrika, land",South Africa
Zuid-Korea,South Korea
Zuid-Soedan,South Sudan
Zweden,Sweden
Zwitserland,Switzerland
